Player,BattingOrder,Position,Team,Opponent,Game.ID,X1B.Ump,X2B.Ump,X3B.Ump,HP.Ump,H.A,Precipitation,Sky,Stadium,Temperature,Wind.Direction,Wind.Speed,PitchHand,HomeRun
Dansby Swanson,7,SS,ATL,WSN,WAS201804090,Brian O'Nora,Chad Whitson,Fieldin Culbreth,CB Bucknor,A,No Precipitation,Overcast,Nationals Park,45,out to Leftfield,4,(R),0
Corey Seager,NA,PH-SS,LAD,STL,SLN201904090,Chris Conroy,Bill Miller,Jansen Visconti,Doug Eddings,A,No Precipitation,Sunny,Busch Stadium III,71,from Left to Right,7,(R),0
Miguel Andujar,6,3B,NYY,BOS,NYA201809180,Chris Guccione,Kerwin Danley,Mike Estabrook,Chad Fairchild,H,No Precipitation,Cloudy,Yankee Stadium III,72,out to Rightfield,5,(L),0
Ian Desmond,NA,PH-1B,COL,SDP,SDN201805150,Ramon De Jesus,David Rackley,Larry Vanover,Hunter Wendelstedt,A,No Precipitation,Sunny,Petco Park,69,out to Rightfield,8,(R),0
Freddie Freeman,3,1B,ATL,NYM,NYN201808040,Chris Segal,Stu Scheurwater,Cory Blaser,Gary Cederstrom,A,No Precipitation,Night,Citi Field,87,out to Rightfield,7,(R),0
Willson Contreras,5,C,CHC,PHI,CHN201806060,Nick Mahrley,Jerry Layne,Jordan Baker,Vic Carapazza,H,No Precipitation,Cloudy,Wrigley Field,68,in from Rightfield,5,(L),0
Christian Vazquez,8,C,BOS,SEA,SEA201903310,Larry Vanover,Alfonso Marquez,Dan Bellino,David Rackley,A,No Precipitation,Sunny,T-Mobile Park,54,out to Centerfield,5,(R),0
Joey Votto,3,1B,CIN,CHC,CHN201807070,Tripp Gibson,Brian Gorman,Mike Muchlinski,Adrian Johnson,A,No Precipitation,Sunny,Wrigley Field,72,in from Rightfield,9,(R),0
Josh Reddick,2,RF,HOU,TEX,TEX201803300,Ed Hickox,Gabe Morales,Jerry Meals,Ron Kulpa,A,No Precipitation,Night,Globe Life Park in Arlington,70,in from Centerfield,9,(L),0
Eric Yardley,NA,P,SDP,COL,COL201909130,Paul Nauert,John Libka,Ed Hickox,Carlos Torres,A,No Precipitation,Night,Coors Field,80,out to Centerfield,3,(L),0
Juan Minaya,NA,P,CHW,TOR,CHA201807280,Brian O'Nora,Fieldin Culbreth,CB Bucknor,Chris Conroy,H,No Precipitation,Cloudy,Guaranteed Rate Field,76,in from Centerfield,3,(R),0
Michael Brantley,4,LF,CLE,SEA,CLE201804290,Mike DiMuro,Chad Whitson,Mark Wegner,Jim Reynolds,H,No Precipitation,Sunny,Progressive Field,42,in from Leftfield,12,(R),0
Noe Ramirez,NA,P,LAA,MIN,MIN201806080,Jim Reynolds,Bruce Dreckman,Roberto Ortiz,Mike Estabrook,A,No Precipitation,Cloudy,Target Field,73,in from Rightfield,10,(R),0
Jesus Aguilar,3,1B,MIL,CHW,CHA201806020,Nick Mahrley,Doug Eddings,Mark Ripperger,Greg Gibson,A,No Precipitation,Cloudy,Guaranteed Rate Field,62,out to Rightfield,9,(R),1
Matt Albers,NA,P,MIL,NYM,MIL201905050,Carlos Torres,Dana DeMuth,Angel Hernandez,Ed Hickox,H,No Precipitation,Cloudy,Miller Park,70,from Right to Left,9,(R),0
Tony Wolters,8,C,COL,SFG,SFN201806280,Jim Reynolds,John Tumpane,Mike DiMuro,Mark Wegner,A,No Precipitation,Sunny,AT&T Park,66,out to Centerfield,13,(R),0
Joe Mauer,NA,PH,MIN,KCR,KCA201809130,Gary Cederstrom,Ben May,Cory Blaser,Stu Scheurwater,A,No Precipitation,Cloudy,Kauffman Stadium,80,from Right to Left,8,(L),0
Tyler Saladino,NA,SS,MIL,MIA,MIA201807090,Mike Muchlinski,Adrian Johnson,Tripp Gibson,Brian Gorman,A,No Precipitation,Cloudy,Marlins Park,87,in from Rightfield,9,(R),0
JaCoby Jones,8,CF,DET,CHW,CHA201809040,Alfonso Marquez,Sam Holbrook,DJ Reyburn,Chris Segal,A,No Precipitation,Cloudy,Guaranteed Rate Field,90,in from Rightfield,11,(L),0
Colin Moran,6,3B-1B-2B,PIT,STL,PIT201907240,Chad Fairchild,Mike Estabrook,Bruce Dreckman,Alfonso Marquez,H,No Precipitation,Cloudy,PNC Park,74,out to Rightfield,8,(R),0
Zack Collins,7,DH,CHW,KCR,CHA201909100,Dan Bellino,Jeremie Rehak,David Rackley,Alfonso Marquez,H,No Precipitation,Cloudy,Guaranteed Rate Field,83,from Right to Left,10,(R),0
Josh Bell,4,1B,PIT,NYM,NYN201907270,Todd Tichenor,Jordan Baker,Marvin Hudson,Hunter Wendelstedt,A,No Precipitation,Night,Citi Field,80,out to Leftfield,13,(R),0
Isiah Kiner-Falefa,6,3B,TEX,HOU,TEX201806100,DJ Reyburn,Ryan Blakney,Sam Holbrook,Alfonso Marquez,H,No Precipitation,Cloudy,Globe Life Park in Arlington,92,in from Rightfield,11,(L),0
Marcus Semien,2,SS,OAK,BAL,BAL201904110,Sam Holbrook,Chad Fairchild,Chad Whitson,Jim Wolf,A,No Precipitation,Cloudy,Oriole Park at Camden Yards,53,in from Rightfield,10,(R),1
Mitch Moreland,5,1B,BOS,PHI,PHI201909150,Jerry Meals,Ron Kulpa,Bruce Dreckman,Gabe Morales,A,No Precipitation,Sunny,Citizens Bank Park,81,from Left to Right,5,(R),0
